key,kind,n_users,ans_rate,ans_variance,cold_value,hi_var,hi_val
I:19,item,99,0.5354,0.24875,0.009242,1,0
I:1677,item,39,0.4615,0.24852,0.009422,1,0
C:90,concept,300,0.5533,0.24716,0.022305,1,1
I:6494,item,121,0.4215,0.24384,0.007346,1,0
C:194,concept,300,0.5800,0.24360,0.025117,1,1
I:9404,item,24,0.4167,0.24306,0.011335,1,0
I:4773,item,39,0.5897,0.24195,0.021504,1,1
I:11513,item,22,0.5909,0.24174,0.010430,1,0
C:98,concept,300,0.6100,0.23790,0.028621,1,1
I:10222,item,26,0.6154,0.23669,0.009186,1,0
I:8589,item,29,0.3793,0.23543,0.009553,1,0
C:166,concept,300,0.6267,0.23396,0.012034,1,0
C:38,concept,300,0.6300,0.23310,0.025877,1,1
C:102,concept,300,0.3700,0.23310,0.025384,1,1
I:14861,item,31,0.3548,0.22893,0.017159,1,1
I:13148,item,48,0.6458,0.22873,0.014832,1,0
I:16227,item,40,0.6500,0.22750,0.027887,1,1
I:17960,item,39,0.3333,0.22222,0.025777,1,1
I:12493,item,24,0.6667,0.22222,0.017143,1,1
C:172,concept,300,0.3300,0.22110,0.017355,1,1
I:11965,item,29,0.3103,0.21403,0.007344,1,0
C:158,concept,300,0.6900,0.21390,0.009864,1,0
I:6538,item,40,0.3000,0.21000,0.010418,1,0
C:29,concept,300,0.7233,0.20012,0.012345,1,0
I:3674,item,94,0.7234,0.20009,0.011903,1,0
C:179,concept,300,0.2667,0.19556,0.006611,1,0
C:175,concept,300,0.2600,0.19240,0.006154,1,0
C:169,concept,300,0.2567,0.19079,0.009458,1,0
I:1368,item,59,0.2542,0.18960,0.017114,1,1
C:12,concept,300,0.2533,0.18916,0.008652,1,0
I:13141,item,75,0.7600,0.18240,0.017141,1,1
I:10031,item,113,0.7611,0.18185,0.026080,1,1
I:4476,item,203,0.2365,0.18054,0.009939,1,0
I:12424,item,219,0.2329,0.17865,0.031164,1,1
I:14924,item,61,0.7705,0.17683,0.011389,1,0
I:12208,item,22,0.7727,0.17562,0.025089,1,1
I:8892,item,23,0.7826,0.17013,0.009567,1,0
I:6537,item,34,0.7941,0.16349,0.018958,1,1
I:7372,item,66,0.8030,0.15817,0.015007,1,0
I:6589,item,84,0.8095,0.15420,0.009172,1,0
C:152,concept,300,0.1867,0.15182,0.014278,1,0
I:15693,item,65,0.8154,0.15053,0.022285,1,1
I:5701,item,87,0.8161,0.15009,0.037678,1,1
I:534,item,49,0.1837,0.14994,0.011087,1,0
I:10693,item,55,0.8182,0.14876,0.011712,1,0
I:9275,item,22,0.8182,0.14876,0.026199,1,1
I:9813,item,28,0.8214,0.14668,0.025223,1,1
I:5340,item,74,0.1757,0.14481,0.009895,1,0
C:103,concept,300,0.8300,0.14110,0.011386,1,0
I:9968,item,89,0.8315,0.14013,0.035265,1,1
I:6809,item,131,0.1679,0.13974,0.014332,1,0
I:10238,item,36,0.1667,0.13889,0.021760,1,1
I:9459,item,25,0.8400,0.13440,0.018430,1,1
C:3,concept,300,0.8467,0.12982,0.006273,1,0
I:448,item,111,0.1532,0.12970,0.019642,1,1
I:9741,item,53,0.8491,0.12816,0.011495,1,0
C:61,concept,300,0.1467,0.12516,0.019595,1,1
I:1335,item,42,0.8571,0.12245,0.024630,1,1
I:2730,item,28,0.8571,0.12245,0.030784,1,1
I:194,item,99,0.8586,0.12142,0.013059,1,0
I:1867,item,22,0.8636,0.11777,0.025966,1,1
C:43,concept,300,0.8667,0.11556,0.026673,1,1
I:12251,item,99,0.8687,0.11407,0.049403,1,1
I:10569,item,35,0.8857,0.10122,0.012197,1,0
C:80,concept,300,0.8867,0.10049,0.007366,1,0
I:141,item,125,0.8880,0.09946,0.016537,1,1
I:1769,item,92,0.8913,0.09688,0.028834,1,1
I:2459,item,29,0.8966,0.09275,0.025954,1,1
I:1774,item,106,0.9057,0.08544,0.020961,1,1
C:17,concept,300,0.9067,0.08462,0.010430,1,0
C:198,concept,300,0.9067,0.08462,0.019248,1,1
I:14368,item,33,0.9091,0.08264,0.016261,1,1
I:9492,item,56,0.0893,0.08131,0.012277,1,0
C:59,concept,300,0.9133,0.07916,0.009640,1,0
C:114,concept,300,0.9200,0.07360,0.028374,1,1
C:137,concept,300,0.9200,0.07360,0.009893,1,0
C:196,concept,300,0.9200,0.07360,0.009176,1,0
I:573,item,76,0.9211,0.07271,0.029123,1,1
I:508,item,26,0.0769,0.07101,0.011709,1,0
C:128,concept,300,0.9267,0.06796,0.016621,1,1
C:39,concept,300,0.0733,0.06796,0.007684,1,0
I:1920,item,41,0.9268,0.06782,0.025801,1,1
I:2821,item,57,0.9298,0.06525,0.030451,1,1
I:6985,item,43,0.9302,0.06490,0.022561,1,1
I:12225,item,30,0.0667,0.06222,0.016794,1,1
C:97,concept,300,0.9333,0.06222,0.011119,1,0
C:34,concept,300,0.9367,0.05932,0.014456,1,0
C:168,concept,300,0.9367,0.05932,0.007889,1,0
C:133,concept,300,0.9400,0.05640,0.011156,1,0
I:5117,item,35,0.9429,0.05388,0.021755,1,1
C:95,concept,300,0.9433,0.05346,0.015279,1,1
C:108,concept,300,0.9433,0.05346,0.012379,1,0
C:190,concept,300,0.9433,0.05346,0.010413,1,0
I:10955,item,36,0.9444,0.05247,0.025768,1,1
C:69,concept,300,0.9467,0.05049,0.022115,1,1
C:28,concept,300,0.9500,0.04750,0.013987,1,0
C:105,concept,300,0.9500,0.04750,0.006124,1,0
I:8866,item,20,0.0500,0.04750,0.049711,1,1
C:48,concept,300,0.9533,0.04449,0.015241,1,1
I:15415,item,23,0.0435,0.04159,0.014967,1,0
C:115,concept,300,0.9567,0.04146,0.011771,1,0
C:146,concept,300,0.9567,0.04146,0.011717,1,0
C:156,concept,300,0.9567,0.04146,0.015545,1,1
C:157,concept,300,0.9567,0.04146,0.011188,1,0
I:10656,item,24,0.0417,0.03993,0.010453,1,0
C:49,concept,300,0.9600,0.03840,0.007911,1,0
C:106,concept,300,0.9600,0.03840,0.016889,1,1
C:161,concept,300,0.9600,0.03840,0.018194,1,1
C:165,concept,300,0.9600,0.03840,0.012547,1,0
I:373,item,25,0.9600,0.03840,0.036711,1,1
C:92,concept,300,0.9633,0.03532,0.016978,1,1
C:111,concept,300,0.9633,0.03532,0.012435,1,0
C:143,concept,300,0.9633,0.03532,0.010714,1,0
C:14,concept,300,0.9667,0.03222,0.012458,1,0
C:45,concept,300,0.9667,0.03222,0.011188,1,0
C:136,concept,300,0.9667,0.03222,0.022245,1,1
C:149,concept,300,0.9667,0.03222,0.014569,1,0
C:167,concept,300,0.9667,0.03222,0.014951,1,0
C:185,concept,300,0.9667,0.03222,0.013459,1,0
C:55,concept,300,0.9700,0.02910,0.013268,1,0
C:67,concept,300,0.9700,0.02910,0.010019,1,0
C:68,concept,300,0.9700,0.02910,0.010127,1,0
C:74,concept,300,0.9700,0.02910,0.014909,1,0
C:93,concept,300,0.9700,0.02910,0.015915,1,1
C:135,concept,300,0.9700,0.02910,0.021659,1,1
C:138,concept,300,0.9700,0.02910,0.013734,1,0
C:176,concept,300,0.9700,0.02910,0.011155,1,0
C:178,concept,300,0.9700,0.02910,0.010356,1,0
C:180,concept,300,0.9700,0.02910,0.015234,1,0
C:8,concept,300,0.9733,0.02596,0.011506,1,0
C:18,concept,300,0.9733,0.02596,0.009943,1,0
C:26,concept,300,0.9733,0.02596,0.017652,1,1
C:42,concept,300,0.9733,0.02596,0.014311,1,0
C:47,concept,300,0.9733,0.02596,0.007782,1,0
C:64,concept,300,0.9733,0.02596,0.016018,1,1
C:66,concept,300,0.9733,0.02596,0.009687,1,0
C:78,concept,300,0.9733,0.02596,0.015390,1,1
C:118,concept,300,0.9733,0.02596,0.018955,1,1
C:125,concept,300,0.9733,0.02596,0.012751,1,0
C:150,concept,300,0.9733,0.02596,0.015374,1,1
C:163,concept,300,0.9733,0.02596,0.011400,1,0
C:171,concept,300,0.9733,0.02596,0.014730,1,0
C:173,concept,300,0.9733,0.02596,0.019628,1,1
C:188,concept,300,0.9733,0.02596,0.012019,1,0
C:40,concept,300,0.9767,0.02279,0.017701,0,1
C:63,concept,300,0.9767,0.02279,0.022127,0,1
C:96,concept,300,0.9767,0.02279,0.014557,0,0
C:100,concept,300,0.9767,0.02279,0.012039,0,0
C:110,concept,300,0.9767,0.02279,0.015071,0,0
C:129,concept,300,0.9767,0.02279,0.015613,0,1
C:130,concept,300,0.9767,0.02279,0.014910,0,0
C:142,concept,300,0.9767,0.02279,0.013682,0,0
C:147,concept,300,0.9767,0.02279,0.012463,0,0
C:182,concept,300,0.9767,0.02279,0.012137,0,0
C:192,concept,300,0.9767,0.02279,0.014970,0,0
C:197,concept,300,0.9767,0.02279,0.011631,0,0
C:65,concept,300,0.9800,0.01960,0.017539,0,1
C:71,concept,300,0.9800,0.01960,0.015120,0,0
C:88,concept,300,0.9800,0.01960,0.015963,0,1
C:117,concept,300,0.9800,0.01960,0.021020,0,1
C:126,concept,300,0.9800,0.01960,0.010744,0,0
C:159,concept,300,0.9800,0.01960,0.019089,0,1
C:160,concept,300,0.9800,0.01960,0.015031,0,0
C:46,concept,300,0.9833,0.01639,0.017964,0,1
C:81,concept,300,0.9833,0.01639,0.019011,0,1
C:84,concept,300,0.9833,0.01639,0.009748,0,0
