episode,reward,acc,loss,reward_ma10,acc_ma10
1,0.0500,0.5102,0.0000,0.0500,0.5102
2,0.5182,0.4182,0.0000,0.2841,0.4642
3,-0.1500,0.5000,0.0000,0.1394,0.4761
4,0.1974,0.6316,-0.1133,0.1539,0.5150
5,-0.3000,0.3571,-0.0141,0.0631,0.4834
6,0.1299,0.5970,0.0208,0.0742,0.5024
7,-0.1500,0.4430,0.1258,0.0422,0.4939
8,0.6500,0.5455,0.1262,0.1182,0.5003
9,0.2500,0.5102,0.0641,0.1328,0.5014
10,0.3302,0.3023,-0.0399,0.1526,0.4815
11,0.1000,0.3793,-0.1584,0.1576,0.4684
12,0.0000,0.5455,-0.2039,0.1057,0.4812
13,-0.2500,0.6154,-0.2553,0.0957,0.4927
14,0.3250,0.5833,-0.2155,0.1085,0.4879
15,0.0580,0.5507,-0.1903,0.1443,0.5072
16,0.1000,0.5769,-0.1476,0.1413,0.5052
17,0.1452,0.6190,-0.1428,0.1708,0.5228
18,-0.2500,0.5000,-0.1154,0.0808,0.5183
19,-0.0500,0.3571,-0.0933,0.0508,0.5030
20,0.0855,0.6129,0.0149,0.0264,0.5340
21,0.1688,0.5312,0.1099,0.0332,0.5492
22,0.1500,0.6667,0.1987,0.0482,0.5613
23,0.2392,0.5098,0.2502,0.0972,0.5508
24,0.1636,0.3636,0.2563,0.0810,0.5288
25,0.2909,0.5909,0.2274,0.1043,0.5328
26,0.5000,0.5455,0.1747,0.1443,0.5297
27,-0.1000,0.4545,0.1030,0.1198,0.5132
28,0.1500,0.5532,0.0363,0.1598,0.5186
29,-0.2000,0.5714,-0.0660,0.1448,0.5400
30,0.3300,0.6400,-0.1062,0.1693,0.5427
31,0.0500,0.5000,-0.1019,0.1574,0.5396
32,0.1500,0.4430,-0.1510,0.1574,0.5172
33,0.6357,0.4643,-0.1467,0.1970,0.5126
34,0.0000,0.6522,-0.2611,0.1807,0.5415
35,0.1000,0.6250,-0.2293,0.1616,0.5449
36,-0.1500,0.5556,-0.2661,0.0966,0.5459
37,0.3538,0.6923,-0.2856,0.1420,0.5697
38,-0.0500,0.4375,-0.2900,0.1220,0.5581
39,0.1000,0.5789,-0.3277,0.1520,0.5589
40,0.1188,0.4688,-0.3004,0.1308,0.5418
41,0.1733,0.3953,-0.2559,0.1432,0.5313
42,0.4227,0.5909,-0.2762,0.1704,0.5461
43,0.1500,0.3333,-0.2886,0.1219,0.5330
44,0.0500,0.5714,-0.2408,0.1269,0.5249
45,0.1500,0.5000,-0.2609,0.1319,0.5124
46,-0.1000,0.6875,-0.2264,0.1369,0.5256
47,0.1000,0.3846,-0.2041,0.1115,0.4948
48,0.2000,0.5128,-0.2181,0.1365,0.5024
49,0.6909,0.6364,-0.1843,0.1956,0.5081
50,0.1500,0.4655,-0.2048,0.1987,0.5078
51,0.1500,0.5102,0.0000,0.1964,0.5193
52,-0.2500,0.4000,0.0000,0.1291,0.5002
53,-0.2000,0.5000,0.0000,0.0941,0.5168
54,0.4579,0.8421,0.0022,0.1349,0.5439
55,-0.0500,0.3571,0.1716,0.1149,0.5296
56,0.4351,0.5522,0.2298,0.1684,0.5161
57,0.0500,0.4430,0.2105,0.1634,0.5219
58,0.3500,0.5455,0.1628,0.1784,0.5252
59,0.3204,0.5306,0.0988,0.1413,0.5146
60,0.0698,0.4419,0.0306,0.1333,0.5123
61,0.2500,0.3793,-0.0302,0.1433,0.4992
62,0.0500,0.5455,-0.0759,0.1733,0.5137
63,0.2500,0.6154,-0.1435,0.2183,0.5253
64,-0.1500,0.4583,-0.1837,0.1575,0.4869
65,0.4000,0.4928,-0.1625,0.2025,0.5004
66,0.2500,0.5769,-0.1385,0.1840,0.5029
67,-0.2000,0.5238,-0.1601,0.1590,0.5110
68,-0.3500,0.5000,-0.1458,0.0890,0.5064
69,0.2000,0.3571,-0.1662,0.0770,0.4891
70,0.3000,0.6774,-0.1341,0.1000,0.5127
71,0.1188,0.5312,-0.0909,0.0869,0.5278
72,0.3500,0.6667,-0.0926,0.1169,0.5400
73,0.1500,0.4706,-0.0496,0.1069,0.5255
74,0.2500,0.5000,-0.0274,0.1469,0.5297
75,-0.1500,0.5000,0.0048,0.0919,0.5304
76,0.3500,0.5455,0.0332,0.1019,0.5272
77,-0.1000,0.4545,0.0438,0.1119,0.5203
78,0.1500,0.5532,0.0484,0.1619,0.5256
79,-0.0286,0.6429,0.0495,0.1390,0.5542
80,0.3000,0.5600,0.0517,0.1390,0.5425
