episode,reward,ndcg,loss,reward_ma10,ndcg_ma10
1,-0.4367,0.1518,0.0000,-0.4367,0.1518
2,-0.4452,0.2048,0.0000,-0.4410,0.1783
3,-0.5384,0.0948,0.0000,-0.4734,0.1505
4,0.0346,0.6180,0.2583,-0.3464,0.2674
5,-0.0948,0.7059,0.1620,-0.2961,0.3551
6,-0.5552,0.3149,-0.0139,-0.3393,0.3484
7,-0.2297,0.2935,-0.1944,-0.3236,0.3405
8,0.2319,0.6173,-0.2402,-0.2542,0.3751
9,-0.5225,0.0734,-0.2158,-0.2840,0.3416
10,-0.0570,0.3149,-0.1650,-0.2613,0.3389
11,-0.3736,0.2279,-0.0812,-0.2550,0.3465
12,-0.4317,0.2212,0.0127,-0.2536,0.3482
13,-0.0157,0.7156,0.0378,-0.2014,0.4102
14,-0.4081,0.3836,0.0115,-0.2456,0.3868
15,-0.4854,0.0784,0.0445,-0.2847,0.3241
16,0.1382,0.7184,-0.0126,-0.2154,0.3644
17,-0.6208,0.1642,-0.0330,-0.2545,0.3515
18,-0.1729,0.4106,-0.0425,-0.2949,0.3308
19,-0.2332,0.3836,-0.0772,-0.2660,0.3618
20,-0.6016,0.0734,-0.0792,-0.3205,0.3377
21,-0.0784,0.0734,0.0202,-0.2909,0.3222
22,-0.2083,0.2240,-0.0891,-0.2686,0.3225
23,-0.4035,0.1642,-0.0592,-0.3074,0.2674
24,-0.2743,0.1585,-0.0213,-0.2940,0.2449
25,0.1700,0.7467,-0.0289,-0.2285,0.3117
26,-0.3052,0.2048,-0.0833,-0.2728,0.2603
27,-0.2832,0.1585,-0.0910,-0.2391,0.2598
28,-0.4937,0.0948,-0.1198,-0.2711,0.2282
29,-0.2900,0.3590,-0.1504,-0.2768,0.2257
30,-0.1863,0.3786,-0.1360,-0.2353,0.2562
31,-0.1744,0.6173,-0.1738,-0.2449,0.3106
32,0.3437,0.5389,-0.1601,-0.1897,0.3421
33,-0.0535,0.5135,-0.1281,-0.1547,0.3771
34,-0.5716,0.2201,-0.0760,-0.1844,0.3832
35,-0.2337,0.2201,0.0141,-0.2248,0.3306
36,-0.0090,0.7917,-0.0288,-0.1952,0.3892
37,-0.4729,0.3278,0.0830,-0.2141,0.4062
38,0.0563,0.5101,-0.0739,-0.1591,0.4477
39,-0.3590,0.0851,-0.0359,-0.1660,0.4203
40,-0.1471,0.4331,0.0167,-0.1621,0.4258
41,-0.5107,0.2494,-0.0823,-0.1957,0.3890
42,-0.2104,0.3128,0.1153,-0.2512,0.3664
43,0.0694,0.7059,0.1017,-0.2389,0.3856
44,-0.4690,0.1428,-0.0609,-0.2286,0.3779
45,0.0851,0.0851,-0.1124,-0.1967,0.3644
46,-0.3550,0.2782,-0.1242,-0.2313,0.3130
47,-0.3839,0.2494,-0.0432,-0.2224,0.3052
48,-0.3711,0.3890,-0.2521,-0.2652,0.2931
49,-0.1346,0.5837,-0.5274,-0.2427,0.3429
50,-0.4819,0.2782,-0.4903,-0.2762,0.3274
51,-0.3867,0.2466,-0.4091,-0.2638,0.3272
52,-0.1827,0.4537,-0.4935,-0.2610,0.3413
53,-0.1799,0.5801,-0.5661,-0.2860,0.3287
54,-0.4690,0.0948,-0.6719,-0.2860,0.3239
55,-0.2646,0.4666,-0.5810,-0.3209,0.3620
56,0.1485,0.7156,-0.3971,-0.2706,0.4058
57,-0.4339,0.0694,-0.4660,-0.2756,0.3878
58,-0.0570,0.5101,-0.3414,-0.2442,0.3999
59,-0.6016,0.0000,-0.4557,-0.2909,0.3415
60,-0.2906,0.5795,-0.3146,-0.2718,0.3716
61,0.0249,0.7472,-0.1688,-0.2306,0.4217
62,0.0282,0.4000,-0.3339,-0.2095,0.4163
63,0.2162,0.3679,-0.2084,-0.1699,0.3951
64,-0.4391,0.2832,-0.1596,-0.1669,0.4140
65,-0.3550,0.4417,-0.4928,-0.1759,0.4115
66,0.0406,0.5638,-0.2168,-0.1867,0.3963
67,-0.3123,0.4794,-0.3771,-0.1746,0.4373
68,-0.0598,0.7156,-0.5959,-0.1749,0.4578
69,-0.4600,0.1732,-0.4129,-0.1607,0.4751
70,-0.4000,0.3223,-0.5162,-0.1716,0.4494
71,0.0378,0.2426,-0.5634,-0.1704,0.3990
72,-0.4531,0.3476,-0.4200,-0.2185,0.3937
73,-0.1100,0.6906,-0.4375,-0.2511,0.4260
74,-0.0731,0.6582,-0.4438,-0.2145,0.4635
75,-0.2314,0.3854,-0.5853,-0.2021,0.4579
76,-0.3052,0.5649,-0.6639,-0.2367,0.4580
77,-0.0836,0.3933,-0.6007,-0.2138,0.4494
78,-0.3470,0.2489,-0.6556,-0.2426,0.4027
79,-0.0491,0.3227,-0.5840,-0.2015,0.4177
80,-0.3843,0.3273,-0.5035,-0.1999,0.4182
81,0.0858,0.6529,-0.7370,-0.1951,0.4592
82,-0.3341,0.3843,-0.6820,-0.1832,0.4629
83,-0.2646,0.3070,-0.5655,-0.1987,0.4245
84,-0.2322,0.4427,-0.5326,-0.2146,0.4029
85,-0.2828,0.5022,-0.5840,-0.2197,0.4146
86,-0.0570,0.3149,-0.5817,-0.1949,0.3896
87,-0.5959,0.1100,-0.7777,-0.2461,0.3613
88,-0.1421,0.5329,-0.8560,-0.2256,0.3897
89,-0.1100,0.4131,-1.0221,-0.2317,0.3987
