episode,reward,ndcg,loss,reward_ma10,ndcg_ma10
1,0.7541,0.5041,0.0000,0.7541,0.5041
2,0.7941,0.4441,0.0000,0.7741,0.4741
3,0.8825,0.6325,0.0000,0.8102,0.5269
4,1.0365,0.6365,-0.1344,0.8668,0.5543
5,0.7898,0.6898,-0.0680,0.8514,0.5814
6,0.7559,0.7059,0.0577,0.8355,0.6022
7,-0.0306,0.0694,0.2148,0.7118,0.5260
8,1.1590,0.3590,0.2570,0.7677,0.5052
9,0.1989,0.2489,0.2513,0.7045,0.4767
10,0.8420,0.4420,0.2025,0.7182,0.4732
11,0.1884,0.1884,0.1278,0.6617,0.4417
12,0.2136,0.0636,0.0383,0.6036,0.4036
13,0.1937,0.3437,-0.0950,0.5347,0.3747
14,0.8436,0.7936,-0.1541,0.5154,0.3904
15,0.0201,0.2201,-0.1356,0.4385,0.3435
16,0.7767,0.5767,-0.1008,0.4405,0.3305
17,1.1500,1.0000,-0.0856,0.5586,0.4236
18,0.8461,0.6461,-0.0251,0.5273,0.4523
19,0.2448,0.0948,0.0289,0.5319,0.4369
20,1.0867,0.6867,0.0806,0.5564,0.4614
21,0.7438,0.3938,0.1028,0.6119,0.4819
22,0.3085,0.1585,0.0679,0.6214,0.4914
23,0.8069,0.7569,0.0671,0.6827,0.5327
24,0.7742,0.7242,0.0134,0.6758,0.5258
25,0.9967,0.7467,-0.0526,0.7734,0.5784
26,1.0111,0.8611,-0.0893,0.7969,0.6069
27,0.1048,0.2048,-0.1494,0.6924,0.5274
28,0.4359,0.3859,-0.1481,0.6513,0.5013
29,0.7121,0.3621,-0.2019,0.6981,0.5281
30,0.9725,0.5225,-0.1995,0.6866,0.5116
31,0.9906,0.6906,-0.2019,0.7113,0.5413
32,0.6791,0.4291,-0.2172,0.7484,0.5684
33,0.2395,0.2895,-0.1592,0.6917,0.5217
34,0.4201,0.2201,-0.2248,0.6563,0.4713
35,0.5507,0.8007,-0.1275,0.6117,0.4767
36,0.7795,0.5795,-0.0990,0.5885,0.4485
37,0.2400,0.2900,-0.0452,0.6020,0.4570
38,0.4465,0.5965,0.0346,0.6031,0.4781
39,0.6874,0.4374,0.0597,0.6006,0.4856
40,0.8055,0.6555,0.0781,0.5839,0.4989
41,0.7513,0.5513,0.0723,0.5600,0.4850
42,0.2173,0.2173,0.0298,0.5138,0.4638
43,0.9367,0.6867,-0.0488,0.5835,0.5035
44,0.5716,0.5716,-0.0361,0.5987,0.5387
45,-0.0000,0.0000,-0.1074,0.5436,0.4586
46,0.7690,0.4690,-0.1319,0.5425,0.4475
47,0.4924,0.5424,-0.1337,0.5678,0.4728
48,0.7545,0.5045,-0.1289,0.5986,0.4636
49,0.7253,0.7753,-0.1076,0.6024,0.4974
50,-0.0611,0.1389,-0.1406,0.5157,0.4457
51,0.6496,0.3996,-0.1233,0.5055,0.4305
52,1.0273,0.7273,-0.2204,0.5865,0.4815
53,0.7306,0.5806,-0.1545,0.5659,0.4709
54,0.4452,0.1952,-0.2155,0.5533,0.4333
55,0.1749,0.4249,-0.2912,0.5708,0.4758
56,0.5018,0.5518,-0.3090,0.5441,0.4841
57,1.1417,0.7917,-0.3243,0.6090,0.5090
58,0.1201,0.2201,-0.3026,0.5455,0.4805
59,0.9773,0.7273,-0.3176,0.5707,0.4757
60,0.7885,0.7885,-0.2542,0.6557,0.5407
61,0.3571,0.3571,-0.2491,0.6265,0.5365
62,1.0253,0.7753,-0.2968,0.6263,0.5413
63,0.5368,0.5368,-0.3326,0.6069,0.5369
64,0.7252,0.4252,-0.3038,0.6349,0.5599
65,0.9118,0.6618,-0.4175,0.7086,0.5836
