episode,reward,ndcg,loss,reward_ma10,ndcg_ma10
1,0.9018,0.5518,0.0000,0.9018,0.5518
2,0.6190,0.4690,0.0000,0.7604,0.5104
3,0.5500,0.0000,0.0000,0.6903,0.3403
4,0.4212,0.2212,-0.1437,0.6230,0.3105
5,0.8072,0.5072,-0.0841,0.6598,0.3498
6,0.2618,0.6118,0.0422,0.5935,0.3935
7,0.5055,0.6555,0.1997,0.5809,0.4309
8,1.3753,0.7753,0.2413,0.6802,0.4740
9,0.6225,0.5225,0.2340,0.6738,0.4794
10,1.0183,0.7183,0.1676,0.7083,0.5033
11,0.5799,0.1799,0.0832,0.6761,0.4661
12,0.6670,0.5670,0.0001,0.6809,0.4759
13,0.7078,0.5578,-0.1319,0.6967,0.5317
14,0.6697,0.4697,-0.2365,0.7215,0.5565
15,0.6569,0.3569,-0.2399,0.7065,0.5415
16,0.4730,0.4230,-0.2123,0.7276,0.5226
17,1.2018,0.5518,-0.2134,0.7972,0.5122
18,0.4284,0.4784,-0.1626,0.7025,0.4825
19,0.4749,0.4249,-0.1372,0.6878,0.4728
20,1.0684,0.7184,-0.0845,0.6928,0.4728
21,0.9029,0.3529,-0.0174,0.7251,0.4901
22,0.7953,0.7453,0.0170,0.7379,0.5079
23,0.4301,0.3301,0.1022,0.7102,0.4852
24,0.7999,0.2999,0.1232,0.7232,0.4682
25,0.7757,0.4257,0.1212,0.7350,0.4750
26,1.1048,0.8048,0.0990,0.7982,0.5132
27,0.7332,0.2832,0.0531,0.7514,0.4864
28,0.4679,0.4679,-0.0090,0.7553,0.4853
29,0.5510,0.5510,-0.0353,0.7629,0.4979
30,0.9208,0.6208,-0.0533,0.7482,0.4882
31,0.8882,0.3882,-0.0560,0.7467,0.4917
32,0.7806,0.5806,-0.1104,0.7452,0.4752
33,1.0723,0.7223,-0.1170,0.8094,0.5144
34,0.5234,0.0734,-0.2670,0.7818,0.4918
35,0.5280,0.4780,-0.2279,0.7570,0.4970
36,0.7649,0.3149,-0.3001,0.7230,0.4480
37,0.7477,0.3977,-0.2723,0.7245,0.4595
38,0.5552,0.3052,-0.2460,0.7332,0.4432
39,0.7263,0.1763,-0.2434,0.7507,0.4057
40,0.7261,0.4761,-0.1774,0.7313,0.3913
41,0.7801,0.3301,-0.1174,0.7205,0.3855
42,0.8698,0.4698,-0.1144,0.7294,0.3744
43,0.8917,0.4417,-0.1502,0.7113,0.3463
44,0.6937,0.3437,-0.0909,0.7283,0.3733
45,1.2415,0.8415,-0.1186,0.7997,0.4097
46,1.3701,0.8701,-0.1379,0.8602,0.4652
47,0.1395,0.2895,-0.1673,0.7994,0.4544
48,0.5948,0.0948,-0.1824,0.8034,0.4334
49,1.1737,0.8237,-0.1595,0.8481,0.4981
50,1.1379,0.6379,-0.2052,0.8893,0.5143
51,0.8041,0.5541,-0.1704,0.8917,0.5367
52,0.5880,0.3380,-0.2542,0.8635,0.5235
53,1.1122,0.6122,-0.1343,0.8856,0.5406
54,0.4033,0.2533,-0.1363,0.8565,0.5315
55,0.4935,0.2935,-0.1447,0.7817,0.4767
56,0.7083,0.2583,-0.1209,0.7155,0.4155
57,0.8249,0.6749,-0.1454,0.7841,0.4541
58,0.5548,0.2048,-0.1802,0.7801,0.4651
59,0.9559,0.7059,-0.2642,0.7583,0.4533
60,0.9616,0.7116,-0.3038,0.7407,0.4607
61,0.4784,0.0784,-0.3781,0.7081,0.4131
62,0.4937,0.3437,-0.4785,0.6987,0.4137
63,1.1317,0.3317,-0.5069,0.7006,0.3856
64,0.4649,0.3149,-0.4660,0.7068,0.3918
65,0.6771,0.5271,-0.6722,0.7251,0.4151
66,0.9249,0.4249,-0.6295,0.7468,0.4318
67,0.5736,0.2736,-0.6041,0.7217,0.3917
68,0.4531,0.3031,-0.5871,0.7115,0.4015
69,1.1080,0.5080,-0.5730,0.7267,0.3817
70,0.6764,0.3764,-0.5222,0.6982,0.3482
71,1.1921,0.7421,-0.5298,0.7696,0.4146
72,0.2295,0.1795,-0.5708,0.7431,0.3981
73,1.0882,0.7382,-0.5385,0.7388,0.4388
74,0.5858,0.4858,-0.5198,0.7509,0.4559
75,0.4011,0.3511,-0.5128,0.7233,0.4383
76,0.3600,0.1100,-0.7043,0.6668,0.4068
77,0.1435,0.2935,-0.7058,0.6238,0.4088
78,0.5885,0.5885,-0.7724,0.6373,0.4373
79,1.0723,0.7223,-0.8387,0.6337,0.4587
80,0.2518,0.1518,-0.8694,0.5913,0.4363
81,0.4957,0.2457,-0.9038,0.5216,0.3866
82,0.5749,0.4249,-1.1156,0.5562,0.4112
83,0.7968,0.7968,-1.0652,0.5270,0.4170
84,0.4987,0.4487,-0.9382,0.5183,0.4133
85,0.9638,0.5638,-1.1174,0.5746,0.4346
86,0.0146,0.2646,-1.0102,0.5400,0.4500
87,0.4590,0.3590,-0.8309,0.5716,0.4566
88,0.3585,0.1585,-0.9308,0.5486,0.4136
89,0.3046,0.1546,-0.8743,0.4718,0.3568
90,0.8412,0.7412,-0.9100,0.5308,0.4158
91,0.6832,0.6332,-0.7231,0.5495,0.4545
